SIMULATED ANNEALING LOG

Step=0 | Candidate=92.200 | Current=92.200 | Best=92.210 | Delta=-0.010 | Prob=1.0000 | T=4.8862 | Swap=[Goblin Arsonist] -> [Firedrinker Satyr] | Accepted=True
Step=1 | Candidate=92.120 | Current=92.120 | Best=92.210 | Delta=-0.080 | Prob=1.0000 | T=4.7750 | Swap=[Grim Lavamancer] -> [Goblin Lackey] | Accepted=True
Step=2 | Candidate=92.100 | Current=92.100 | Best=92.210 | Delta=-0.020 | Prob=1.0000 | T=4.6663 | Swap=[Incinerate] -> [Mizzium Mortars] | Accepted=True
Step=3 | Candidate=91.760 | Current=91.760 | Best=92.210 | Delta=-0.340 | Prob=1.0000 | T=4.5601 | Swap=[Hero of Oxid Ridge] -> [Stingscourger] | Accepted=True
Step=4 | Candidate=92.137 | Current=92.137 | Best=92.210 | Delta=0.377 | Prob=1.0000 | T=4.4563 | Swap=[Incinerate] -> [Arid Mesa] | Accepted=True
Step=5 | Candidate=91.941 | Current=91.941 | Best=92.210 | Delta=-0.196 | Prob=1.0000 | T=4.3548 | Swap=[Stingscourger] -> [Goblin Matron] | Accepted=True
Step=6 | Candidate=92.157 | Current=92.157 | Best=92.210 | Delta=0.216 | Prob=1.0000 | T=4.2557 | Swap=[Incinerate] -> [Koth of the Hammer] | Accepted=True
Step=7 | Candidate=91.529 | Current=91.529 | Best=92.210 | Delta=-0.627 | Prob=1.0000 | T=4.1588 | Swap=[Mizzium Mortars] -> [Burst Lightning] | Accepted=True
Step=8 | Candidate=88.274 | Current=88.274 | Best=92.210 | Delta=-3.256 | Prob=1.0000 | T=4.0642 | Swap=[Grim Lavamancer] -> [Pyreheart Wolf] | Accepted=True
Step=9 | Candidate=91.981 | Current=91.981 | Best=92.210 | Delta=3.707 | Prob=1.0000 | T=3.9716 | Swap=[Brimstone Volley] -> [Blood Crypt] | Accepted=True
Step=10 | Candidate=92.269 | Current=92.269 | Best=92.269 | Delta=0.288 | Prob=1.0000 | T=3.8812 | Swap=[Goblin Matron] -> [Goblin Lackey] | Accepted=True
Step=11 | Candidate=92.000 | Current=92.000 | Best=92.269 | Delta=-0.269 | Prob=1.0000 | T=3.7929 | Swap=[Volt Charge] -> [Blood Crypt] | Accepted=True
Step=12 | Candidate=91.547 | Current=91.547 | Best=92.269 | Delta=-0.453 | Prob=1.0000 | T=3.7066 | Swap=[Stromkirk Noble] -> [Spikeshot Elder] | Accepted=True
Step=13 | Candidate=92.302 | Current=92.302 | Best=92.302 | Delta=0.755 | Prob=1.0000 | T=3.6222 | Swap=[Koth of the Hammer] -> [Lava Spike] | Accepted=True
Step=14 | Candidate=92.245 | Current=92.245 | Best=92.302 | Delta=-0.057 | Prob=1.0000 | T=3.5397 | Swap=[Stromkirk Noble] -> [Goblin Matron] | Accepted=True
Step=15 | Candidate=92.377 | Current=92.377 | Best=92.377 | Delta=0.132 | Prob=1.0000 | T=3.4592 | Swap=[Grim Lavamancer] -> [Keldon Marauders] | Accepted=True
Step=16 | Candidate=92.241 | Current=92.241 | Best=92.377 | Delta=-0.137 | Prob=1.0000 | T=3.3804 | Swap=[Spikeshot Elder] -> [Reckless Waif] | Accepted=True
Step=17 | Candidate=92.074 | Current=92.074 | Best=92.377 | Delta=-0.167 | Prob=1.0000 | T=3.3035 | Swap=[Burst Lightning] -> [Lightning Bolt] | Accepted=True
Step=18 | Candidate=92.370 | Current=92.370 | Best=92.377 | Delta=0.296 | Prob=1.0000 | T=3.2283 | Swap=[Koth of the Hammer] -> [Searing Spear] | Accepted=True
Step=19 | Candidate=92.185 | Current=92.185 | Best=92.377 | Delta=-0.185 | Prob=1.0000 | T=3.1548 | Swap=[Stromkirk Noble] -> [Mogg Fanatic] | Accepted=True
Step=20 | Candidate=92.455 | Current=92.455 | Best=92.455 | Delta=0.269 | Prob=1.0000 | T=3.0830 | Swap=[Gut Shot] -> [Blood Crypt] | Accepted=True
Step=21 | Candidate=92.164 | Current=92.164 | Best=92.455 | Delta=-0.291 | Prob=1.0000 | T=3.0128 | Swap=[Goblin Lackey] -> [Spikeshot Elder] | Accepted=True
Step=22 | Candidate=92.564 | Current=92.564 | Best=92.564 | Delta=0.400 | Prob=1.0000 | T=2.9442 | Swap=[Firedrinker Satyr] -> [Zealous Conscripts] | Accepted=True
Step=23 | Candidate=92.364 | Current=92.564 | Best=92.564 | Delta=-0.200 | Prob=1.0000 | T=2.8772 | Swap=[Goblin Lackey] -> [Rakdos Cackler] | Accepted=False
Step=24 | Candidate=92.500 | Current=92.500 | Best=92.564 | Delta=-0.064 | Prob=1.0000 | T=2.8117 | Swap=[Stormblood Berserker] -> [Plated Geopede] | Accepted=True
Step=25 | Candidate=92.536 | Current=92.536 | Best=92.564 | Delta=0.036 | Prob=1.0000 | T=2.7477 | Swap=[Reckless Waif] -> [Goblin Bushwhacker] | Accepted=True
Step=26 | Candidate=92.429 | Current=92.429 | Best=92.564 | Delta=-0.107 | Prob=1.0000 | T=2.6852 | Swap=[Shrine of Burning Rage] -> [Pillar of Flame] | Accepted=True
Step=27 | Candidate=92.304 | Current=92.429 | Best=92.564 | Delta=-0.125 | Prob=1.0000 | T=2.6240 | Swap=[Pillar of Flame] -> [Wasteland] | Accepted=False
Step=28 | Candidate=92.754 | Current=92.754 | Best=92.754 | Delta=0.326 | Prob=1.0000 | T=2.5643 | Swap=[Plated Geopede] -> [Hellspark Elemental] | Accepted=True
Step=29 | Candidate=92.667 | Current=92.667 | Best=92.754 | Delta=-0.088 | Prob=1.0000 | T=2.5059 | Swap=[Pyreheart Wolf] -> [Gore-House Chainwalker] | Accepted=True
Step=30 | Candidate=92.754 | Current=92.754 | Best=92.754 | Delta=0.088 | Prob=1.0000 | T=2.4489 | Swap=[Gut Shot] -> [Pyrokinesis] | Accepted=True
Step=31 | Candidate=92.667 | Current=92.667 | Best=92.754 | Delta=-0.088 | Prob=1.0000 | T=2.3932 | Swap=[Keldon Marauders] -> [Reckless Waif] | Accepted=True
Step=32 | Candidate=92.655 | Current=92.655 | Best=92.754 | Delta=-0.011 | Prob=1.0000 | T=2.3387 | Swap=[Lightning Bolt] -> [Blackcleave Cliffs] | Accepted=True
